total_timesteps,value_loss,nupdates,explained_variance,fps,policy_entropy,ep_reward_mean,ep_len_mean
727000,1.727212656987831e-05,145400,0.48717010021209717,807,2.036489963531494,-4.88,598.32
727500,3.196688703610562e-05,145500,0.5923325419425964,807,2.0244078636169434,-4.88,599.59
728000,1.5400013353428221e-06,145600,0.9566991403698921,808,2.0581722259521484,-4.88,599.59
728500,0.00014596848632209003,145700,0.3493337631225586,808,2.0582611560821533,-4.88,603.13
729000,7.428685785271227e-05,145800,0.7386150658130646,808,2.0461201667785645,-4.89,603.42
729500,0.000244970025960356,145900,-5.957791328430176,808,2.0650017261505127,-4.89,603.42
730000,0.11710454523563385,146000,0.27994322776794434,809,2.0420360565185547,-4.9,604.73
730500,0.0008528683101758361,146100,0.5104198753833771,809,2.053157329559326,-4.9,605.54
731000,0.00012976108700968325,146200,-0.36610186100006104,809,2.044076919555664,-4.91,605.65
731500,0.0001467647380195558,146300,0.8519538789987564,810,2.054365634918213,-4.92,603.21
732000,0.003382037626579404,146400,-5.452061653137207,810,2.0748131275177,-4.92,605.27
732500,0.00017581549764145166,146500,-0.15005791187286377,810,2.0534656047821045,-4.92,605.78
733000,6.32963638054207e-05,146600,0.8214823454618454,811,2.0736215114593506,-4.92,605.68
733500,6.051408126950264e-05,146700,0.7064996361732483,811,2.020552158355713,-4.92,605.68
734000,0.00011396848276490346,146800,0.09739470481872559,811,2.0660648345947266,-4.92,606.96
734500,2.095380477840081e-05,146900,0.5713249742984772,811,2.0740222930908203,-4.93,604.58
735000,5.2920473535778e-05,147000,0.3349847197532654,812,2.0647740364074707,-4.93,604.5
735500,0.00015128224913496524,147100,0.682548850774765,812,2.0517048835754395,-4.93,604.5
736000,9.314053750131279e-05,147200,-5.317373752593994,812,2.047438383102417,-4.93,608.42
736500,0.00042618013685569167,147300,-0.8957399129867554,813,2.0437123775482178,-4.93,607.86
737000,7.111376180546358e-05,147400,-1.0892512798309326,813,2.0663561820983887,-4.93,607.69
737500,5.513461655937135e-05,147500,-0.8120278120040894,813,2.04606294631958,-4.93,608.09
738000,1.4785143321205396e-05,147600,0.49552786350250244,814,2.043034315109253,-4.93,605.89
738500,0.000810738536529243,147700,-0.14067411422729492,814,2.0278711318969727,-4.93,605.89
739000,0.0003846303152386099,147800,0.10835134983062744,814,2.026867389678955,-4.91,607.35
739500,0.00045889493776485324,147900,-0.846549391746521,814,2.0663180351257324,-4.92,605.9
740000,9.92046989267692e-06,148000,0.9778381548821926,815,2.0699024200439453,-4.92,603.47
740500,0.00038428863626904786,148100,0.9338201880455017,815,2.0653891563415527,-4.93,600.25
741000,6.018358908477239e-05,148200,0.5924188792705536,815,2.0703628063201904,-4.93,597.75
741500,0.00014238982112146914,148300,-0.8080846071243286,816,2.068589687347412,-4.93,597.75
742000,0.0004324639739934355,148400,-1.9368157386779785,816,2.072972297668457,-4.93,601.43
742500,1.5204683222691528e-05,148500,0.9526788592338562,816,2.071362018585205,-4.93,595.25
743000,0.0013383508194237947,148600,-2.5489888191223145,816,2.0433971881866455,-4.93,597.14
743500,7.077518966980278e-05,148700,-0.08251893520355225,817,2.059420347213745,-4.93,597.14
744000,9.626212704461068e-05,148800,-0.946087121963501,817,2.0349531173706055,-4.92,596.81
744500,0.0002630366070661694,148900,-3.9974851608276367,817,2.0601744651794434,-4.92,596.1
745000,0.001269052503630519,149000,-2.2799994945526123,818,2.058990240097046,-4.92,594.02
745500,0.0016896890010684729,149100,-6.430662155151367,818,2.0684337615966797,-4.92,594.44
746000,0.00024770983145572245,149200,-3.452991485595703,818,2.0710952281951904,-4.92,592.71
746500,0.014119917526841164,149300,-48.87751007080078,819,2.06013822555542,-4.91,594.64
747000,0.00015054471441544592,149400,-1.1681840419769287,819,2.0679619312286377,-4.91,596.18
747500,0.00018347837612964213,149500,-3.1489295959472656,819,2.050870418548584,-4.91,596.18
748000,5.156109182280488e-05,149600,-3.781355381011963,819,2.0640416145324707,-4.9,598.68
748500,0.0008266860386356711,149700,0.6753970086574554,820,2.0760488510131836,-4.9,598.68
749000,0.00011187767086084932,149800,-0.09397900104522705,820,2.070115327835083,-4.89,597.68
749500,0.0005425716517493129,149900,-2.0600357055664062,820,2.0772414207458496,-4.89,601.18
750000,0.0011246154317632318,150000,-26.964101791381836,657,2.0701231956481934,-4.89,601.18
750500,0.000335428339894861,150100,0.39008986949920654,658,2.071734666824341,-4.89,600.43
751000,7.305024337256327e-05,150200,0.7805830836296082,658,2.0768790245056152,-4.89,600.43
751500,3.7137149774935097e-05,150300,0.984371779486537,658,2.0537803173065186,-4.89,598.51
752000,0.004379826597869396,150400,-13.800203323364258,658,2.072873830795288,-4.89,597.85
752500,0.0003441991866566241,150500,0.6254522800445557,659,2.0659775733947754,-4.89,595.11
753000,0.0008665299974381924,150600,-0.3569774627685547,659,2.069392681121826,-4.89,595.09
753500,0.0007688604528084397,150700,-1.0034117698669434,659,2.038705348968506,-4.9,595.95
754000,0.0006615017773583531,150800,-1.699585199356079,659,2.0744004249572754,-4.9,598.36
